City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Margate,GB,2021-06-01 23:08:30,51.3813,1.3862,59.7,64,7,1.99
200,Kargil,IN,2021-06-01 23:08:31,34.5667,76.1,41.7,66,88,3.69
201,Aksu,CN,2021-06-01 23:08:31,41.1231,80.2644,72.97,30,52,4.23
202,Naze,JP,2021-06-01 23:08:32,28.3667,129.4833,71.62,88,99,14.07
203,Esmeralda,CU,2021-06-01 23:06:06,21.8525,-78.1169,76.24,77,24,10.4
204,Amahai,ID,2021-06-01 23:08:33,-3.3333,128.9167,79.61,82,55,2.89
205,Touros,BR,2021-06-01 23:06:16,-5.1989,-35.4608,77.9,78,7,12.71
206,Bengkulu,ID,2021-06-01 23:08:33,-3.8004,102.2655,74.88,91,91,4.16
207,Jacksonville,US,2021-06-01 23:05:54,30.3322,-81.6556,82.62,68,75,1.01
208,Havre-Saint-Pierre,CA,2021-06-01 23:08:34,50.2334,-63.5986,47.37,89,66,17.07
209,Bani Walid,LY,2021-06-01 23:08:35,31.7566,13.9942,70.65,51,95,6.73
210,Bilibino,RU,2021-06-01 23:08:35,68.0546,166.4372,63.46,33,4,1.5
211,Upernavik,GL,2021-06-01 23:08:36,72.7868,-56.1549,30.63,90,28,7.31
212,Tikapur,NP,2021-06-01 23:08:36,28.5,81.1333,82.04,61,62,6.22
213,Prieska,ZA,2021-06-01 23:08:37,-29.6641,22.7474,45.46,64,0,7.61
214,Podgornoye,RU,2021-06-01 23:08:37,51.735,39.1496,52.02,82,75,10.76
215,Ohara,JP,2021-06-01 23:08:38,35.25,140.3833,73.0,73,100,8.79
216,Bilma,NE,2021-06-01 23:08:38,18.6853,12.9164,91.94,7,66,7.09
217,Qujing,CN,2021-06-01 23:08:39,25.4833,103.7833,62.94,92,41,3.91
218,Dingle,PH,2021-06-01 23:08:39,10.9995,122.6711,75.85,95,100,20.87
219,Casablanca,MA,2021-06-01 23:08:40,33.5928,-7.6192,68.32,64,6,11.01
220,Tatarsk,RU,2021-06-01 23:08:41,55.219,75.9828,51.67,77,93,9.4
221,Port Elizabeth,ZA,2021-06-01 23:08:41,-33.918,25.5701,57.09,83,37,13.78
222,Weihe,CN,2021-06-01 23:08:41,32.9952,105.3247,63.59,85,95,0.43
223,Beloha,MG,2021-06-01 23:08:42,-25.1667,45.05,67.6,82,100,18.7
224,Namatanai,PG,2021-06-01 23:08:43,-3.6667,152.4333,79.39,87,99,6.55
225,Luoyang,CN,2021-06-01 23:08:22,34.6836,112.4536,77.31,57,42,2.37
226,Chuy,UY,2021-06-01 23:08:43,-33.6971,-53.4616,58.71,70,95,6.98
227,Coahuayana,MX,2021-06-01 23:08:44,18.7333,-103.6833,89.08,59,99,5.3
228,Vestmannaeyjar,IS,2021-06-01 23:08:44,63.4427,-20.2734,45.32,82,100,14.34
229,Krasnyy Chikoy,RU,2021-06-01 23:08:45,50.3643,108.7512,37.31,100,100,3.02
230,Radzyn Podlaski,PL,2021-06-01 23:08:45,51.7833,22.6167,51.67,78,17,6.64
231,Alice Springs,AU,2021-06-01 23:08:46,-23.7,133.8833,60.35,55,88,9.93
232,Coreau,BR,2021-06-01 23:08:46,-3.5333,-40.6567,74.73,82,70,0.78
233,Saint-Louis,SN,2021-06-01 23:08:47,16.3333,-15.0,77.67,54,38,15.32
234,Jacareacanga,BR,2021-06-01 23:08:47,-6.2222,-57.7528,77.56,61,53,1.9
235,Grindavik,IS,2021-06-01 23:08:48,63.8424,-22.4338,45.07,81,75,18.01
236,Ponta Delgada,PT,2021-06-01 23:08:49,37.7333,-25.6667,59.72,63,20,8.05
237,Peniche,PT,2021-06-01 23:08:49,39.3558,-9.3811,61.74,90,88,4.27
238,Matara,LK,2021-06-01 23:08:50,5.9485,80.5353,79.02,86,44,11.21
239,Garden City,US,2021-06-01 23:08:50,42.3256,-83.331,77.25,44,75,3.0
240,Portland,US,2021-06-01 23:03:58,45.5234,-122.6762,97.86,34,1,1.01
241,Cedral,MX,2021-06-01 23:08:51,23.8,-100.7333,77.27,45,100,16.6
242,Severodvinsk,RU,2021-06-01 23:08:52,64.5635,39.8302,32.11,81,56,9.37
243,Port Lincoln,AU,2021-06-01 23:04:43,-34.7333,135.8667,59.02,73,94,6.89
244,Ponta Pora,BR,2021-06-01 23:08:52,-22.5361,-55.7256,65.88,77,1,5.66
245,Imeni Poliny Osipenko,RU,2021-06-01 23:08:53,52.4201,136.4853,61.74,62,78,10.04
246,Butembo,CD,2021-06-01 23:08:53,0.15,29.2833,59.16,77,96,3.06
247,La Ronge,CA,2021-06-01 23:08:54,55.1001,-105.2842,61.52,64,100,5.59
248,Sinnamary,GF,2021-06-01 23:08:54,5.3833,-52.95,76.5,89,100,5.68
249,Duayaw Nkwanta,GH,2021-06-01 23:08:55,7.1724,-2.1028,71.87,95,75,3.33
250,Ginir,ET,2021-06-01 23:08:55,7.1333,40.7,56.75,93,88,6.98
251,Pisco,PE,2021-06-01 23:08:56,-13.7,-76.2167,64.45,82,0,12.66
252,Aquiraz,BR,2021-06-01 23:08:56,-3.9014,-38.3911,81.18,80,1,7.36
253,Quelimane,MZ,2021-06-01 23:08:56,-17.8786,36.8883,69.57,85,42,4.18
254,San Rafael,AR,2021-06-01 23:08:19,-34.6177,-68.3301,56.07,59,68,7.83
255,Cayenne,GF,2021-06-01 23:08:58,4.9333,-52.3333,78.1,89,0,7.23
256,Aklavik,CA,2021-06-01 23:08:58,68.2191,-135.0107,34.52,100,90,8.05
257,Deputatskiy,RU,2021-06-01 23:08:58,69.3,139.9,61.03,31,83,3.18
258,Mogok,MM,2021-06-01 23:08:59,22.9167,96.5,67.96,87,98,2.62
259,Hasaki,JP,2021-06-01 23:08:59,35.7333,140.8333,70.29,72,100,9.93
260,Areka,ET,2021-06-01 23:09:00,7.0667,37.7,59.67,95,82,4.09
261,Lagos,NG,2021-06-01 23:09:00,6.5833,3.75,77.29,91,100,3.71
